cl_node_id;lat;lon;zip_code
45898;34.18681756;-118.51825236;91406
45933;34.19378928;-118.37468015;91606
45950;34.19308132;-118.42252021;91401
45953;34.22796222;-118.45165024;91402
40818;34.2281936;-118.61173659;91304
40833;34.22783465;-118.6482431;91304
40837;34.22664931;-118.64675708;91304
40847;34.24269849;-118.61914307;91311
40867;34.22388023;-118.65075213;91304
40875;34.25904416;-118.60386927;91311
40876;34.25904523;-118.60281048;91311
42685;34.13214669;-118.33788744;90068
42724;34.13397133;-118.41374961;91604
42736;34.13483419;-118.38069499;91604
42739;33.72159301;-118.30903958;90732
42748;33.74327388;-118.28279176;90731
44271;34.04095694;-118.36899189;90019
44290;34.06191349;-118.32763241;90010
44339;34.0165684;-118.20099427;90023
44344;34.03021873;-118.20059823;90023
44352;34.03596852;-118.20741639;90033
44360;34.03535518;-118.21186781;90023
45991;34.09809188;-118.31095989;90028
46045;34.08645248;-118.26663135;90026
46150;34.0252882;-118.22268506;90023
40914;34.25725311;-118.57496237;91311
40936;34.25602837;-118.57704184;91311
40937;34.25635879;-118.57608525;91311
40950;34.25543654;-118.56669345;91311
40966;34.25453652;-118.55794894;91324
40983;34.25285792;-118.60299216;91311
40987;34.25361711;-118.58196741;91311
41004;34.25190562;-118.57162743;91311
42798;34.28338579;-118.51287406;91344
42816;34.29470872;-118.51905126;91344
42836;34.16220698;-118.55100041;91356
42850;34.1399946;-118.43022876;91423
42858;34.11982812;-118.4501718;90077
44362;34.03461864;-118.21233045;90023
44408;34.1431279;-118.39049226;91604
44420;34.1342079;-118.21545723;90041
44431;34.13167867;-118.21635004;90041
44435;34.1292576;-118.21811733;90041
46232;33.98486939;-118.4668325;90291
46384;34.09527298;-118.32664333;90028
46435;34.09140669;-118.19911321;0
46525;34.05452146;-118.29287137;90006
41008;34.25180145;-118.58196455;91311
41037;34.24998743;-118.57980917;91311
41046;34.24916059;-118.57695836;91311
41054;34.24876458;-118.57672118;91311
41063;34.24730194;-118.5762271;91311
41068;34.2463522;-118.59073189;91311
41090;34.24461243;-118.5735728;91311
42888;34.11496269;-118.44817674;90077
42896;34.1136533;-118.45140618;90077
42898;34.11365428;-118.44987334;90077
42909;34.11266281;-118.44800449;90077
42919;34.11605999;-118.452392;90077
42935;34.10869962;-118.44599093;90077
44461;34.12010451;-118.2289154;90065
44473;34.11718972;-118.23435375;90065
44501;33.9437347;-118.2781509;90003
44502;33.94373414;-118.2783485;90003
44509;33.94010674;-118.27814417;90003
44516;33.93737742;-118.27813876;90061
46573;34.05252115;-118.40626503;90064
46575;34.05118011;-118.40859337;90064
46580;34.07775408;-118.46948315;90049
46586;34.0639359;-118.41406628;90212
46712;33.93648581;-118.28259084;90044
46714;33.9358365;-118.24260583;90059
46913;34.05273469;-118.25809055;90071
41107;34.24364893;-118.57833765;91311
41112;34.24303396;-118.57735708;91311
41118;34.24303509;-118.5717754;91311
41128;34.24391931;-118.56598116;91311
41136;34.24273675;-118.57118931;91311
41137;34.24391876;-118.56688466;91311
41138;34.24273862;-118.56688351;91311
41141;34.24274138;-118.55794125;91324
41159;34.23546326;-118.57754676;91311
41172;34.2319874;-118.56230526;91324
41180;34.23062088;-118.58852553;91304
41187;34.22986671;-118.58010387;91306
42983;34.22523897;-118.6501783;91304
43006;34.20410535;-118.64799822;91307
43041;34.22698735;-118.65112648;91304
43062;34.07238799;-118.54782463;90272
44567;33.83154557;-118.29953121;90501
44573;33.90189513;-118.28560161;90248
44583;34.2300026;-118.39734575;91352
44593;34.04794819;-118.22881044;90033
44599;34.04857628;-118.23386627;90012
44626;34.03842692;-118.23051636;90013
44633;34.03834429;-118.23160149;90013
44658;34.06348056;-118.21526855;90031
46979;34.03259943;-118.4493117;90064
47006;34.05197159;-118.47452721;90049
47015;34.05151007;-118.47556724;90049
47030;34.04940142;-118.48742299;90049
41200;34.23006617;-118.60023537;91304
41216;34.25826211;-118.58528656;91311
41221;34.25759425;-118.57650168;91311
41252;34.25362126;-118.57511665;91311
41262;34.25275199;-118.55404705;91324
41285;34.24997897;-118.59074023;91311
43084;34.26625105;-118.61048634;91311
43099;34.21074064;-118.57791176;91306
43108;34.03195669;-118.2608399;90015
43135;34.02455372;-118.21321354;90023
43137;34.02302621;-118.20800497;90023
43152;34.06921464;-118.17251759;90032
43159;34.09669243;-118.18791236;90042
43176;34.18055437;-118.65615375;91367
43177;34.17584897;-118.62276488;91367
44695;34.08704661;-118.17586837;90032
44698;34.08594896;-118.18241908;90032
44723;34.09672178;-118.25213771;90039
